epoch;decomp_loss;ihm_loss;los_loss;loss;pheno_loss;train_decomp_acc;train_decomp_auprc;train_decomp_auroc;train_decomp_minpse;train_decomp_prec0;train_decomp_prec1;train_decomp_rec0;train_decomp_rec1;train_ihm_acc;train_ihm_auprc;train_ihm_auroc;train_ihm_minpse;train_ihm_prec0;train_ihm_prec1;train_ihm_rec0;train_ihm_rec1;train_los_kappa;train_los_mad;train_los_mape;train_los_mse;train_pheno_auc_scores;train_pheno_ave_auc_macro;train_pheno_ave_auc_micro;train_pheno_ave_auc_weighted;val_decomp_acc;val_decomp_auprc;val_decomp_auroc;val_decomp_loss;val_decomp_minpse;val_decomp_prec0;val_decomp_prec1;val_decomp_rec0;val_decomp_rec1;val_ihm_acc;val_ihm_auprc;val_ihm_auroc;val_ihm_loss;val_ihm_minpse;val_ihm_prec0;val_ihm_prec1;val_ihm_rec0;val_ihm_rec1;val_los_kappa;val_los_loss;val_los_mad;val_los_mape;val_los_mse;val_loss;val_pheno_auc_scores;val_pheno_ave_auc_macro;val_pheno_ave_auc_micro;val_pheno_ave_auc_weighted;val_pheno_loss
0;0.06275809171233639;0.14242339631824907;1.8548744055378907;3.216305458962686;0.3427510767231909;0.9882886;0.24046819203195088;0.9167997850622284;0.28705048856693666;0.98839647;0.78149337;0.99988467;0.033950925;0.88442016;0.4648509645405347;0.8479368161871584;0.48345679012345677;0.93351716;0.4862805;0.9364511;0.4742319;0.49577028641190124;257.4698176345899;323.7075596052266;194962.29429799283;"""[0.7698850498895763, 0.7816777373669234, 0.7043263492569356, 0.7135144932895674, 0.7327314714953664, 0.6887337240311839, 0.6746486700795179, 0.6973242876920206, 0.7453851121519061, 0.7446094141489601, 0.7033564171755396, 0.6929414791391058, 0.7357481346299701, 0.6968570754033814, 0.7405994880015265, 0.6650409015610961, 0.7082242948971862, 0.7155048393407908, 0.6985885197356951, 0.7186421759683246, 0.7014337289300939, 0.7832328818335667, 0.8428664314554227, 0.7457686378561812, 0.8124885129697885]""";0.7285651931319852;0.7941133542349834;0.7296498467275229;0.97776365;0.2497166024334681;0.8594729419087079;0.11637054483932938;0.2886834068544282;0.9778824;0.83715594;0.99985945;0.03096632;0.8538583;0.47598550893782315;0.8303563394604909;0.16733720632015395;0.4665127020785219;0.9201031;0.46187365;0.910051;0.49417248;0.4386394787494716;1.4096998080150465;108.49549514798767;256.2973193130557;31749.119920615532;2.65844373679801;"""[0.6991656606316605, 0.7390270469077125, 0.6299591660657189, 0.6038055547692338, 0.6607516293445601, 0.6212544197967987, 0.6005256672313888, 0.5858208047764316, 0.6573621174604913, 0.6510684264628516, 0.6352500390159571, 0.616887289354208, 0.6508683296798785, 0.570553928249572, 0.6612146917849423, 0.5743707400753242, 0.623741279810829, 0.6430449110219529, 0.64159408128091, 0.6257790515300906, 0.6339082976025122, 0.7275540494592189, 0.7920211195413815, 0.7086694831471468, 0.7694940444060598]""";0.6529476731762733;0.7389435836854437;0.6475537113256811;0.39405604181400444
1;0.05759920730513584;0.1309796314818918;1.80187207421351;3.111380628133601;0.32477738346608725;0.9885892;0.2727837617313488;0.930221867639225;0.30926278995869083;0.98886126;0.7479469;0.999712;0.07054337;0.90134954;0.510047836148924;0.8744871932579537;0.5076923076923077;0.91412014;0.6447059;0.9810266;0.2719603;0.5301080482434172;253.26844884525912;331.53015481371557;192522.42550166618;"""[0.8010465507895623, 0.8640534248776425, 0.7369120345871668, 0.7344073971779089, 0.7603217630567407, 0.7119279425467759, 0.7326460161052131, 0.7115764972024434, 0.7683503739866694, 0.7907497108214496, 0.7598903287203986, 0.7249354449411513, 0.7514121848020217, 0.7238336767466639, 0.760558037926454, 0.7257378780453118, 0.7413050517477795, 0.7373638309625741, 0.716080387109077, 0.7442944849514592, 0.7375664101120966, 0.8069986596323515, 0.8642391249259422, 0.7840430285713829, 0.8399747220392115]""";0.761208998495418;0.8128763447413778;0.7604654950865051;0.97917897;0.2640133307071797;0.8774818033594252;0.10546924752009157;0.30091523394063807;0.9796652;0.73698884;0.9994613;0.06782995;0.88109946;0.5246538551223947;0.8553868490292252;0.1504466331280663;0.4806378132118451;0.8988764;0.6273585;0.97177565;0.3029613;0.45064506873693055;1.3214912627297544;118.37825183398391;236.34672904989566;37647.8947137645;2.5014167187483713;"""[0.746173023789982, 0.8374766121545384, 0.6768305386246722, 0.6375458510025593, 0.6977590926782388, 0.6414146358790607, 0.6713437356568872, 0.6160337552742616, 0.6783883336779178, 0.7130109396775222, 0.6780358589758873, 0.6553378965906456, 0.6664439164439164, 0.6065501162219095, 0.6926803316652614, 0.6890715670744738, 0.6719834963961837, 0.6682536681969574, 0.6525353257074662, 0.6705659082259556, 0.6664727119099743, 0.7638509211092672, 0.8262927925661283, 0.7521402579326865, 0.8084650359214647]""";0.6953862529341528;0.7629422176696555;0.6877442511006835;0.3836212544169162
2;0.055382667385664316;0.12524334676056967;1.7775782636507957;3.0625082069473226;0.3157094706435259;0.9886226;0.29007512065885;0.9327185681536897;0.3296111507087986;0.98899907;0.7267297;0.999603;0.08672065;0.90166676;0.5309265279022094;0.879465925646647;0.5157946692991116;0.9097174;0.69448584;0.98711824;0.23012346;0.514199860638642;284.96746293357523;547.670896020895;206089.71056155855;"""[0.8224820702272349, 0.8974733647485124, 0.7456673310356314, 0.741832096015721, 0.7800743385549725, 0.7180677348239366, 0.7406922344399717, 0.7313517560769943, 0.785794331693731, 0.8042429909099947, 0.8093248849660273, 0.7379677688321375, 0.7617634145598453, 0.7348507910751341, 0.7804794763488371, 0.7350820617682586, 0.7621325794318765, 0.7503128551458084, 0.7283377955758963, 0.7504345229584715, 0.7437736921211195, 0.8224491668285621, 0.8855907095784026, 0.8080640793378187, 0.862095799320248]""";0.7776135138550058;0.8285201014257075;0.7758025863076685;0.9786378;0.288205286331463;0.8808763574925931;0.10992000228443974;0.3270536320434487;0.9792656;0.71428573;0.99930763;0.075622395;0.8810695;0.5255770358333257;0.853511614734525;0.1465025490952848;0.484304932735426;0.8907509;0.6821192;0.9829303;0.23303168;0.44405920441670965;1.3378493179052746;135.938942811734;303.2512851061652;47319.09726150473;2.517772622655576;"""[0.7672182193885385, 0.8737742202268431, 0.6908059669790827, 0.6373944274770086, 0.7108724975228273, 0.6483926464131611, 0.6742082527735931, 0.6393812162301683, 0.6972144309730963, 0.7321905809778944, 0.7531811355628718, 0.6750517052564434, 0.6923598566950248, 0.6204895917025486, 0.7214538952112209, 0.6844513418160827, 0.6935831312838957, 0.672581907378501, 0.6611206110723136, 0.6794459600566257, 0.6754804507503795, 0.7780022484939213, 0.8550906159754691, 0.779648845289671, 0.8337919803318429]""";0.7138874294335609;0.7814768410794386;0.7059613386249893;0.37177811527697524
3;0.05339041998398401;0.12295007294293148;1.769208439550818;3.042269700530633;0.31047660960117224;0.98886657;0.3116050100591935;0.9367406745550616;0.3473081192515065;0.9895015;0.70032537;0.99933404;0.12799318;0.9046875;0.54767592754212;0.8854113177327856;0.5215666831928607;0.9140707;0.69794345;0.9852238;0.26934522;0.5320470201340601;258.81839413138766;413.65101235360504;193088.19457214474;"""[0.8303167574271482, 0.9112773694118619, 0.7613365776281849, 0.7474752704244715, 0.7906784165857224, 0.7300335556699786, 0.7460670468647812, 0.740767742423598, 0.794116999228087, 0.808112199888133, 0.8521210904115226, 0.7625955139755, 0.7671497068259643, 0.742096916220407, 0.7819667491379917, 0.7509299660608999, 0.7805314311404292, 0.7593835571190732, 0.7254642706715355, 0.763210106338779, 0.7470121566393584, 0.8255689177273222, 0.8963309044648855, 0.819141263102125, 0.8735643111164408]""";0.7882899518601678;0.8343442425629705;0.7850362223117533;0.9796495;0.30596481779494233;0.8832994001617344;0.10168357407392063;0.3370943759293274;0.98072743;0.7033564;0.9988213;0.124639206;0.8840125;0.529791243024285;0.861632306783021;0.14243778123540327;0.5154394299287411;0.89784414;0.6457143;0.9776092;0.26840854;0.4540313469307927;1.2853044427707943;104.46837374097488;219.47222070318273;31158.503766265574;2.4268045354312338;"""[0.7659609042177387, 0.8936414818943745, 0.7019341751039264, 0.6461702521302074, 0.7335050891568085, 0.6592533559970938, 0.6758588050604858, 0.6495553930871185, 0.7144479438449801, 0.7324267063284073, 0.7960599268946842, 0.6967356525291034, 0.6879558856804314, 0.6270868709203223, 0.7236952356969688, 0.7147155045224197, 0.7217288688518916, 0.6785353393078806, 0.6722532992325175, 0.6988855446753031, 0.6812669952387747, 0.7856475344039863, 0.8668594414959443, 0.7910893716601729, 0.8393133973874555]""";0.7261833190127601;0.7881686815390248;0.7151672620734697;0.3686767382957445
4;0.05257628608716322;0.12259070961149218;1.7616560979792306;3.0268896973973707;0.3073111251153792;0.9886417;0.31892467229560384;0.9358043500649046;0.3533676703645008;0.98886955;0.7914085;0.99975634;0.07591276;0.9064086;0.5582710551950592;0.8857785212803763;0.5272277227722773;0.9148254;0.7203608;0.9863599;0.27673268;0.52556063335056;272.3684597021041;391.93532187919226;203837.24729498624;"""[0.8337479546760801, 0.9197972797723777, 0.7594456107632798, 0.7491867249466759, 0.7928308237421171, 0.7323997577281296, 0.7517793451275814, 0.7446563849218792, 0.7955632362462669, 0.8095541994491938, 0.8506196053654973, 0.7691798438123798, 0.7703323472203683, 0.7458405082844748, 0.7882591727535009, 0.7492534308605365, 0.7794827649935315, 0.7664706490938817, 0.7262739413676391, 0.7666384033469663, 0.7493885780532227, 0.8277824311004304, 0.8987543252808009, 0.822837591821259, 0.8735378506126543]""";0.790944510453629;0.8378293129828993;0.7879524959343481;0.9787876;0.3133607450756073;0.884500744683965;0.10374629257030211;0.34696086594504577;0.9791576;0.8026786;0.9995768;0.074854285;0.8834862;0.552070784944097;0.8618092870637367;0.14819141807008443;0.5213483146067416;0.8962386;0.672043;0.9784071;0.28089887;0.4491751560313021;1.2726638134860708;126.3993401499734;243.72900609094984;42986.62036123571;2.408068582824889;"""[0.7762753507809631, 0.9076712008348627, 0.7076993918667406, 0.6465618822977144, 0.73067753960501, 0.665146884496555, 0.6905752894910067, 0.6516734279918863, 0.7190244182598549, 0.7334719834142867, 0.805247632889294, 0.7029057259151691, 0.6941047626756709, 0.6324859085125523, 0.7283924301154355, 0.6970876273353611, 0.7153581765557163, 0.6911591902335643, 0.6705544167196815, 0.6992355368722529, 0.681955074045337, 0.7920454574002784, 0.8700556062825253, 0.7948134625103326, 0.8365938326077771]""";0.729630888388393;0.7924585433432536;0.7196361745172625;0.3656882888816848
5;0.05164676553451832;0.1212150656165186;1.7518304775053763;3.008597325908019;0.304961836860949;0.988789;0.32381589144492134;0.9374341359943912;0.34862895379544506;0.989011;0.8113567;0.99976146;0.08454619;0.90676785;0.5615760886835613;0.8911395078137707;0.5250371839365394;0.9214827;0.6666667;0.9783114;0.3422619;0.5435911927416115;244.2539747191427;279.5712680769269;185922.18384154158;"""[0.8401249341336489, 0.9236590763147878, 0.7727951395607452, 0.7520750130982718, 0.7985416568648951, 0.7406061953142153, 0.7557147616720459, 0.7508462349959453, 0.7984513255118955, 0.8175268249949998, 0.8719430083601606, 0.7878515212241907, 0.7754840001500359, 0.7530204698581257, 0.7946374455596585, 0.7600982679349377, 0.7856216601924507, 0.7734079046177461, 0.7333266248880412, 0.7793290543492462, 0.7526827381829773, 0.8287628846102956, 0.905740724055671, 0.829070200441812, 0.8830496579024179]""";0.7985746929915686;0.842261788657208;0.7949017845739649;0.97881067;0.31023698903056995;0.8821101855821024;0.10548085842168728;0.3343493353653374;0.9791683;0.81826013;0.9995867;0.08046074;0.8812858;0.5392616453071862;0.8588600816810033;0.14631453352902493;0.5058275058275058;0.90154374;0.62114537;0.96831244;0.32943925;0.4418960710196447;1.2951596896739344;104.24307568487473;183.53118365178605;32368.14417073372;2.441780611140596;"""[0.7876532727015421, 0.9119570982379634, 0.710897013109594, 0.6521306720642692, 0.7369053340795119, 0.6674587856448031, 0.6971994182288299, 0.6550947754031349, 0.7177089495779923, 0.7436763395383613, 0.8173584562433703, 0.7223358605690613, 0.7019582107903267, 0.6362079091919487, 0.7344087550622932, 0.7215241794378432, 0.7254234469620954, 0.7080107302439487, 0.672641567323033, 0.7109278521404003, 0.6883080694819725, 0.7909792154723319, 0.8716489453057912, 0.7984697233809168, 0.8475500948799638]""";0.7371373870028519;0.7967971468914329;0.7260531653851441;0.3642973087680076
6;0.05194917030103488;0.12047439251607128;1.7482108518721196;3.001579723035144;0.30321939386373625;0.9890846;0.34254295230996407;0.940154993841446;0.3758979243560741;0.9898459;0.7020588;0.9992023;0.15495892;0.90767086;0.5753483433884078;0.8918557431033891;0.5358733300346363;0.91622853;0.7261462;0.986105;0.29009902;0.5418854124258452;264.17295992564704;360.3008290424372;196617.96510765876;"""[0.8394843390539058, 0.9244273332288977, 0.7753359567535997, 0.7545192608171467, 0.8014042591361614, 0.7413295924132756, 0.75715713653403, 0.7565295638260303, 0.8003286511558708, 0.8207629835076173, 0.8830437947751502, 0.7980129736524728, 0.7769476346892416, 0.7552049531548248, 0.7950997482366986, 0.7659669783652928, 0.7906104224212425, 0.7779449263519667, 0.7390397417869046, 0.7774867158737886, 0.7562454801523623, 0.8319166466986269, 0.9035901476177968, 0.8316930050499332, 0.8855214839875667]""";0.8015841491696162;0.8445199241445689;0.797509561050585;0.979926;0.3215572621872446;0.8874428792584096;0.10012073643368748;0.35047701647875107;0.98140013;0.68342286;0.9983987;0.15446661;0.8879578;0.559067101831626;0.8649068741823674;0.14459719978707775;0.508235294117647;0.8993772;0.68421054;0.9807005;0.2759434;0.4620646029292296;1.2989525125120633;121.14613098961892;246.27512528219557;40093.068491597944;2.4394258012054593;"""[0.7854741319541364, 0.9075114098034303, 0.714930222136867, 0.6573994660739524, 0.7420156471448967, 0.6739780710261538, 0.6969230075943066, 0.6701181029807841, 0.7169723757074072, 0.7459089541934117, 0.8425755081144553, 0.7352875932960558, 0.6949799053953125, 0.6403899146387618, 0.7363824326956062, 0.7117490259606813, 0.7284851548055398, 0.7084172179081584, 0.675157426333363, 0.7140295153818413, 0.6881483851676822, 0.793068472342565, 0.8718736656423466, 0.801601071830579, 0.8506124278461447]""";0.7401595642389774;0.7996608484771207;0.7287705861462478;0.3619568577704896
7;0.05061374266770488;0.11811672457613295;1.7461415315190665;2.9954088645269974;0.30195947890808555;0.98922944;0.355227572300451;0.9418496654150328;0.3828295666679906;0.99027205;0.6792908;0.9989118;0.1902133;0.9061525;0.5668434965106625;0.8907613764367222;0.5119047619047619;0.92187405;0.65598494;0.9770858;0.34540942;0.5512351349026559;254.76849897656416;342.22043275584616;190404.26666993945;"""[0.841199843735795, 0.9292072343270393, 0.7846460706054798, 0.756903277767663, 0.8051873352532483, 0.7466910132860838, 0.7583342867959506, 0.7574051214661546, 0.8051548598514568, 0.823338932542626, 0.8846676186525899, 0.7963916829389197, 0.7779045851578454, 0.754359512697518, 0.7943141935779436, 0.769662969789134, 0.7927762445471742, 0.776375621560511, 0.7372273061745604, 0.7816928711285811, 0.7564081030769538, 0.8321142516896629, 0.9062037471670752, 0.8289919763952228, 0.8855588174171187]""";0.8033086991040923;0.8466054261180744;0.799020644097201;0.9791882;0.3262979057747598;0.8876309030139601;0.0942312788695981;0.35584199584199583;0.98149526;0.6308744;0.9975152;0.1842149;0.8826436;0.5519897594809186;0.8555870084034294;0.15026922679231486;0.5067567567567568;0.90317196;0.6296296;0.96779966;0.34537247;0.45894921369098474;1.309583237249386;121.35348699396593;250.11903322107537;40391.66705035672;2.448942914598124;"""[0.7836042720396484, 0.9185924314553844, 0.7236835948529708, 0.6531053290910755, 0.7470507684053856, 0.6757743797674101, 0.7031117558319939, 0.6700592395265494, 0.7229061028210074, 0.7483722419306634, 0.833387099702994, 0.7314721356430327, 0.7013671835371798, 0.643767404458722, 0.7321774672514857, 0.7323924321559809, 0.7341906139166687, 0.7076048096197136, 0.6833838896665417, 0.7109968376376599, 0.69138170397536, 0.7923483886494815, 0.8719573980677614, 0.8036228465391299, 0.8549924430530065]""";0.7428521107838724;0.8008763402144728;0.7311012739935316;0.3602829344525028
8;0.05038541443488234;0.1172247791965324;1.7418928946474406;2.9875206102204945;0.30085089939425613;0.9890814;0.3661310342107397;0.9447803088399556;0.3971946900904109;0.99052924;0.6352495;0.9984955;0.21535265;0.91134375;0.6041773877413458;0.9016292542310702;0.56973293768546;0.9216793;0.7263158;0.9836837;0.34124628;0.543880919706474;260.31195849572447;333.41635985605745;194334.16893176446;"""[0.8454306131862899, 0.9305934300429354, 0.7931888679928499, 0.7596283464644492, 0.8068486043117339, 0.7493855591799983, 0.76215290943217, 0.7655045981100803, 0.8057189954506585, 0.8253893956554794, 0.8826665422963023, 0.7968513235810908, 0.7809838169028375, 0.7572451324465113, 0.799204882095035, 0.7727915079020732, 0.7969679288147846, 0.7823069549622204, 0.739825034519195, 0.7863750117768984, 0.7593972145983072, 0.8331982067891429, 0.9068378394027458, 0.8380429084080734, 0.8911849753408367]""";0.806708823986508;0.8481737950585023;0.8021384510040248;0.9787242;0.3229319531829927;0.8897563451198959;0.09578012419843193;0.36053727790529627;0.9822353;0.5567766;0.99625915;0.20685549;0.8839676;0.5648127592544625;0.8622305309208962;0.14131844652775125;0.53125;0.8977424;0.6701031;0.9768786;0.29680365;0.43310257632506255;1.2862749805706408;129.78465974446786;241.84504702095205;46417.833601550905;2.4135071999086275;"""[0.7928737140777854, 0.9099624073445368, 0.7268618099566824, 0.6526233572048701, 0.7422867601238083, 0.6687226693742337, 0.7013552562119426, 0.6633245765984865, 0.7205326455051201, 0.7467863886177629, 0.8390634948197025, 0.7373278326021242, 0.7010345116677074, 0.6404010476966208, 0.7469327109289503, 0.7278899717682181, 0.732265497006473, 0.7135644353369763, 0.6820614079439676, 0.7130593081638881, 0.6896566938008541, 0.7924565749612846, 0.8739183391327086, 0.8078454804418813, 0.8508022038331873]""";0.742944363804791;0.8018228678819157;0.7316637875592685;0.36005091048301135
9;0.05025463377149866;0.11745926800009684;1.7355803024365066;2.976473148579997;0.2993562038708633;0.9892261;0.37244891499457916;0.9435332041213237;0.3969286933058212;0.989703;0.77482307;0.9994942;0.14337301;0.91093904;0.6042429725856591;0.9005617771922119;0.5545679012345679;0.925429;0.6912691;0.9784683;0.37944663;0.5493698196333809;239.26618080947222;261.45728216231765;183557.36208645283;"""[0.8465155208348297, 0.9297864571658239, 0.791081353790173, 0.7603672985121984, 0.8111561653104549, 0.7531563326414438, 0.7610322658437465, 0.7684166309679841, 0.8086427549886643, 0.8270036289935225, 0.8902641333299419, 0.8019388979038609, 0.7808951363020662, 0.75839957079734, 0.7991857242191782, 0.776670444787698, 0.8024608284309035, 0.7816138763286083, 0.7449807505545167, 0.7895445984881491, 0.7637552271842003, 0.8383654104631292, 0.9105391350687437, 0.8390186538664115, 0.8920792502783863]""";0.809074801882079;0.8503201292743439;0.8040557918896333;0.97956735;0.32475122760920344;0.8909088947155617;0.09725979636099498;0.3531120697244476;0.9805595;0.73336595;0.99890536;0.13196585;0.88664746;0.552070530934932;0.8624000428866276;0.14427309861513063;0.5169082125603864;0.90789473;0.6255319;0.9675277;0.3559322;0.4335774316083352;1.2645209337811403;99.60348586752829;179.53051436322252;30654.387113856228;2.381613592434633;"""[0.7927111011128487, 0.9173678167410168, 0.7278681960930943, 0.6579273324523955, 0.7443699702414716, 0.6790346760815761, 0.6931197817798779, 0.688152089026249, 0.7181230101534102, 0.7554346218349715, 0.8467830531970195, 0.744096145063182, 0.7004493614179715, 0.6437564288439528, 0.7437961239217663, 0.7352856201657925, 0.7358223965732209, 0.7144371803510046, 0.6839944435869733, 0.7249467687578437, 0.6929603859586955, 0.7959234663039547, 0.877053809187806, 0.8058331305707277, 0.8501677925723917]""";0.7467765880795686;0.8040154971328535;0.7339888706509202;0.35871777808978705
