epoch;loss;train_auc_scores;train_ave_auc_macro;train_ave_auc_micro;train_ave_auc_weighted;val_auc_scores;val_ave_auc_macro;val_ave_auc_micro;val_ave_auc_weighted;val_loss
0;0.330000625631003;"""[0.8261125850746132, 0.9097456601615372, 0.7306774497043971, 0.7318009641785492, 0.7826197806819261, 0.7212299167294968, 0.7177837840627833, 0.7261043727106494, 0.7821317162743755, 0.8035705817340497, 0.837222689132802, 0.748523998175894, 0.7630167977527371, 0.731629571439211, 0.7763991904862431, 0.7369825919681128, 0.7659900909736357, 0.7499642199512038, 0.719781695654164, 0.7470591039871707, 0.7341526704382633, 0.820315167293922, 0.8925361848029244, 0.7944180601837214, 0.8635744421624669]""";0.776533731428594;0.8281254910934055;0.7739086429928796;"""[0.7665549541540521, 0.8926516958280407, 0.6787606503612852, 0.6373600406240415, 0.7193038644900005, 0.6536485179345161, 0.6577017082947507, 0.6502237331583917, 0.7071911820744887, 0.7342438910762273, 0.7727667154079116, 0.6930358150935038, 0.6899689564590608, 0.6147194673445562, 0.7183375606497163, 0.684665692837451, 0.7041157841233432, 0.6652468645788349, 0.6838293659399859, 0.690518460983661, 0.6604529025419944, 0.7768313267756242, 0.8621534431339184, 0.771617848296135, 0.8369790582014691]""";0.7169151800145183;0.7836261364411119;0.707149832760288;0.3706474944170295
1;0.30907879149761547;"""[0.833816870143156, 0.9195134460098253, 0.7634444898027519, 0.7490559674556361, 0.8001885244274057, 0.7358499443615085, 0.7483413029450874, 0.7510143408670538, 0.7912149651457568, 0.8173506833573325, 0.880925718545671, 0.7902168494005464, 0.7705399915420506, 0.7459287015430137, 0.7900801364695726, 0.7479883619721475, 0.789044603971649, 0.7574116249305408, 0.730773257418644, 0.7747426026071924, 0.7396532464579786, 0.8283634234140992, 0.9048430577718662, 0.8102433043977229, 0.8809048880808705]""";0.7940580121215632;0.8391706317116334;0.7904622242606032;"""[0.7813979559857561, 0.902769397279233, 0.7126864993936933, 0.648069738537404, 0.7451061446267575, 0.6681962871268582, 0.68423205214174, 0.6835406986199967, 0.7120252436235267, 0.7516095534194955, 0.8314063398997232, 0.7280510169378447, 0.6895923929742372, 0.6313194990798832, 0.7304049773727826, 0.6907606182648628, 0.7373036413542611, 0.6793462962432847, 0.6860545441693389, 0.7065809731199202, 0.6679523848551869, 0.7884457242007084, 0.8712632347500768, 0.7920406387580557, 0.8444141378494177]""";0.7345827996233618;0.794498279979431;0.7236091592153308;0.36404082528969645
2;0.30381042261973545;"""[0.844732333877392, 0.9240027221505578, 0.7755257654974014, 0.754155508907803, 0.8100367571958678, 0.7403233544784227, 0.7543350328983321, 0.7670271847943827, 0.8031063495733246, 0.822944317859885, 0.8940771805946901, 0.8043201662522083, 0.778103705621185, 0.750528432357307, 0.7954022577819737, 0.7705701542601864, 0.8009934214746467, 0.7741717361782443, 0.7317530773509173, 0.7846845837367367, 0.7489923473094321, 0.8350336259804457, 0.9090365418366193, 0.8389394902387179, 0.8921914768898589]""";0.8041995010038616;0.8468464933265757;0.7994643176866565;"""[0.7920604674340241, 0.9074676922990368, 0.7222643095625101, 0.6563759565030399, 0.7538061445694154, 0.6725488776702083, 0.6927043316272711, 0.6931590224876777, 0.722449940720697, 0.7597849120576392, 0.857003240559167, 0.7498460576641859, 0.7015058153284611, 0.6444036577838743, 0.7386870678595108, 0.7380107382207242, 0.7494651001519702, 0.706816095058061, 0.6744347694486333, 0.725855779633277, 0.6873963680740712, 0.7971070985534224, 0.8728897815733333, 0.8036256934156012, 0.8536186484772026]""";0.7469315026693206;0.8038848642195617;0.7347783691891647;0.3581033144991133
3;0.3000604754914713;"""[0.8469061920248899, 0.9274049659506939, 0.7867210930631664, 0.7570329444465511, 0.8156984908776845, 0.7497283420713893, 0.7635123327000412, 0.7705947923203627, 0.8061836858477973, 0.8295675827854401, 0.899621019820548, 0.820509383708367, 0.783473372206905, 0.759501861206211, 0.8003805957814094, 0.7789394583894877, 0.8089955298122686, 0.7841793419056047, 0.7432313400769566, 0.7917571599113995, 0.7521050323594594, 0.8388103837060634, 0.9153112811708926, 0.8442681148943023, 0.8959509386765692]""";0.8108154094285785;0.8516576803500973;0.8059126852957451;"""[0.793620701692251, 0.9038798725597109, 0.7299151640929513, 0.6614198725974049, 0.7653320892631144, 0.6828466086242337, 0.7006512881167651, 0.6894554502279995, 0.7259355278173856, 0.7626658612463937, 0.8650618007001565, 0.7680246637425479, 0.7059179412660725, 0.6544420998917789, 0.7430090596040552, 0.7302601192991421, 0.7526833616004984, 0.7155813293251194, 0.6841382307312036, 0.7256231102111015, 0.6820990317323362, 0.7960331376714158, 0.884057720775289, 0.8079593830071814, 0.8569511058313235]""";0.7515025812650974;0.8072671139937697;0.7403706200383907;0.3559914309139099
4;0.2973497859211116;"""[0.8510048693687934, 0.9305394452554683, 0.7921855595898789, 0.7598871743510658, 0.8174875684939787, 0.7556738773204041, 0.7692023006622697, 0.7690517536375261, 0.8101682533854038, 0.8310536327888873, 0.8995891717229871, 0.8221116424173707, 0.7813655140710735, 0.7596526342183132, 0.8027893061230744, 0.7822337961891523, 0.8123631488033969, 0.7939959060481382, 0.7423677926978933, 0.7951023475223888, 0.7576212316798802, 0.8426859785052648, 0.9181382961803627, 0.8514793390572597, 0.9032306044924117]""";0.8140392457833058;0.8539259109244073;0.8086973809356918;"""[0.7997637110747461, 0.912566839246308, 0.7360248628226086, 0.6531269358321896, 0.763860040224107, 0.6883771057914024, 0.7050379843663508, 0.6877409536046009, 0.7307868905375902, 0.766254260113302, 0.8605890747257797, 0.7561969307974366, 0.7042516299822754, 0.6482675371858942, 0.745824064885895, 0.7292925695209227, 0.7602000856702392, 0.7214343629274977, 0.6911005371677136, 0.723648640282633, 0.6900709752334483, 0.8047777971323288, 0.8856236224657279, 0.8183766580960693, 0.8620256894692405]""";0.7538087903662523;0.8086785670438836;0.7416418622942275;0.35614808811027726
5;0.29554892870401556;"""[0.854002881792061, 0.9320722940515093, 0.802428991427035, 0.7652413929064286, 0.8237527575864885, 0.7563537353904146, 0.7704299936799858, 0.7747032410669362, 0.8129092830098779, 0.835317042050134, 0.9018929353418543, 0.8225631091447333, 0.7872828186734155, 0.7662586964163538, 0.8051881993209646, 0.7846067184252343, 0.816477977951117, 0.7981958456111062, 0.7421564517366372, 0.7961104164708372, 0.7577380993628503, 0.8433682121147615, 0.9200676859088684, 0.853635965328762, 0.9064128003147733]""";0.8171667018033255;0.8550008271916256;0.8122732084501277;"""[0.7973731673742245, 0.9118749906631411, 0.7394506758700028, 0.6619614544945358, 0.7604054561759406, 0.684282555160628, 0.7111496830234243, 0.694068475582079, 0.7338599411015561, 0.7684282977317971, 0.8550679413107449, 0.7561654950386751, 0.7059130694251046, 0.6534202902331223, 0.7466597936615069, 0.732562304415036, 0.7560126295042854, 0.7286721970568498, 0.6884446484511788, 0.7269958944769619, 0.6898068088684044, 0.8034113340793528, 0.8841660435628549, 0.8123937843676863, 0.8628835137036633]""";0.7546172178133104;0.8081472083732156;0.7429937235038007;0.3549651336144136
6;0.2937010254150361;"""[0.8549763164807196, 0.9370148267592249, 0.815317250246441, 0.7661813430113527, 0.827062541837861, 0.7637330868925667, 0.7751502582323504, 0.7837497070172065, 0.8166825841374202, 0.8402337265187834, 0.9082513982773368, 0.8279663115306622, 0.7884942223381863, 0.7676200193302399, 0.8088450614350081, 0.7882744678614543, 0.8208701685747944, 0.8022187447654195, 0.7469680540536603, 0.8031656145165847, 0.7608795069017994, 0.8471125846341122, 0.9234994161829155, 0.8602748054864764, 0.9100637216978699]""";0.8217842295488178;0.8597474803559539;0.8160901968024951;"""[0.8020059810674482, 0.9145482494378929, 0.7477411364444005, 0.6646282164488961, 0.7568226007230634, 0.687617715157301, 0.7077899254732922, 0.7023804083920515, 0.7376544269722481, 0.7701188285493283, 0.867778628208105, 0.7687681445097807, 0.70420962068364, 0.6595590355137064, 0.7524501090757693, 0.7248950195522942, 0.759278792773881, 0.7296485272848212, 0.685613279819428, 0.7312172321007517, 0.6865190018583769, 0.8044080131186369, 0.888735309416457, 0.8144897817391391, 0.8643145807941497]""";0.7573277026045945;0.8117980421690555;0.7461917754735817;0.352182941884621
7;0.2926935685551345;"""[0.8563720855881003, 0.9397368958021382, 0.8185301084716538, 0.7689716358189528, 0.8320101803355675, 0.7676569410415437, 0.7774405224007214, 0.7866273247864725, 0.8188656888381447, 0.8423533544634119, 0.9093071498470205, 0.8362145757419316, 0.790271660046399, 0.772708319363663, 0.8088792960362, 0.7948401785293692, 0.8225741514537908, 0.8070606322651793, 0.7503710528803786, 0.8103991614983228, 0.7665832364359718, 0.8500141220775145, 0.9256991336888385, 0.8640287320514604, 0.9095407753414733]""";0.8250822765921687;0.8617614058279088;0.8191311121858282;"""[0.8039748123232388, 0.9190062167474439, 0.7411876601773293, 0.6599636780385958, 0.7659180521125795, 0.698439623374102, 0.7119513043053971, 0.7047566968298675, 0.7344773433334472, 0.7724838227883357, 0.8653767094578998, 0.771256107947165, 0.7078499648796003, 0.659096192291599, 0.7528353213384685, 0.7302542312361637, 0.7605171160569035, 0.7312239860901876, 0.69337193011373, 0.7421336236788815, 0.6983618384882706, 0.8061918505849319, 0.8885320991724326, 0.8208717717454689, 0.8672854031279011]""";0.7602926942495977;0.8137057890558969;0.7479355286543675;0.3511017661204313
8;0.2910229893880113;"""[0.8575500914843697, 0.9430180753738767, 0.8250759850286042, 0.7715586680287472, 0.834300198072187, 0.7727708428078651, 0.7828923995652473, 0.790022627714394, 0.8218252700786494, 0.8447882049129829, 0.9118856309433512, 0.8396471212676956, 0.7941016069638285, 0.7755875781726186, 0.8113907282121211, 0.7979409082665367, 0.8282006843054301, 0.8070772244512686, 0.755126723864221, 0.8162013275276045, 0.7682894686132539, 0.8517183079677921, 0.9280413789615269, 0.8644579644856406, 0.9144647789702928]""";0.8283173518416043;0.8643514643470418;0.8221799906855114;"""[0.8005541553354418, 0.9207709603295342, 0.753105562502521, 0.6623640348747369, 0.7667575975217196, 0.6910359418294771, 0.7131915572465886, 0.7075654033869734, 0.7324987548833413, 0.7728088899892781, 0.8687570109897716, 0.7757458165663486, 0.7056513167492905, 0.6653419808465578, 0.7504525628186509, 0.7270262781564332, 0.7579735656989434, 0.730926449821949, 0.692704812896839, 0.7327673255701517, 0.7006925828368437, 0.8065607253587905, 0.8905014625387355, 0.8230770616276882, 0.8681354103388048]""";0.7606786888286164;0.8141832562199953;0.7484553950020992;0.35044906220206323
9;0.29015154938261617;"""[0.8627896694763421, 0.9417089694173436, 0.828077224085341, 0.7759365806633137, 0.8406556614627965, 0.7777589791351956, 0.7835038923433785, 0.793789464976764, 0.8255788606881544, 0.8464402816990584, 0.9147405178639654, 0.8404662117585788, 0.7951177791157409, 0.7776204235551325, 0.8127388420435098, 0.8015397812477218, 0.8337419902511184, 0.8153576423097446, 0.7563241850920348, 0.8179517102090527, 0.7708276749075729, 0.8528682354003521, 0.9286875249904399, 0.8675360585110006, 0.9172116570996857]""";0.8311587927321336;0.8659640296943227;0.8248979612556872;"""[0.8051704393678585, 0.9227406823164916, 0.7555955993930197, 0.6700113018294835, 0.7710374234923696, 0.6955122868477781, 0.7112820771610461, 0.7114130327391673, 0.7421465829656249, 0.7747110509544775, 0.8684792388591576, 0.7769455830269635, 0.7098212618471257, 0.6586514580187975, 0.7522943402580827, 0.7292190431587083, 0.7653551278945001, 0.7371836353178027, 0.6946157854267111, 0.7408416652165513, 0.7030732753276053, 0.8063168482148287, 0.890099913190179, 0.8226177881112723, 0.8719439896705375]""";0.7634831772242456;0.8156117667587167;0.7510812870605296;0.35011764485614116
